City,Temprature(F),Feels Like(F),Humidity(%),Weather Description
indore,72.09,73.51,96,overcast clouds
bhopal,76.82,78.44,90,overcast clouds
india,56.16,55.56,87,heavy intensity rain
kabul,75.87,75.51,50,clear sky
canada,82.38,80.04,18,scattered clouds
